name,barred,aic_new,aic_old,Lxi_new,Lxi_old
763033_20,False,633.0818913207486,682.3714323580846,710533.5035174149,923476.7948493962
763033_19,False,187.71336217093585,204.61678753774086,1304812.1632320392,227772.01385236252
763033_18,False,281.91290210973835,1499.7307452539342,568298.0087587776,62623.233559606524
763033_17,False,248.734782846448,512.148911699365,522762.1390800143,69825.42404049281
763033_16,False,280.2208919271505,374.2982162727129,861771.8711870484,70178.16244570966
763033_15,False,261.2443317023859,352.1299181589985,8093016.170566768,204328.1925917117
763033_14,False,310.18881610330845,1079.7697909795468,5670768.937277088,220991.06428327376
763033_13,False,394.9840131360586,449.2833948119567,353245.73484305316,2056678.6077063477
763033_12,False,112.97586661118254,128.5920534868052,1389096.653794882,4069431.448355498
770934_28,False,163.48349048270086,277.6745645743271,44137.367317711934,39056.27978619338
770934_27,False,140.0864811743789,155.0388916509276,32236.99274345748,30685.29468743856
770934_26,False,205.71644957377032,161.2318288912324,35437.37072027881,43503.20658106645
770934_25,False,162.89918802463342,197.23576877551346,51851.635995996374,75560.96982086528
770934_24,False,254.21843092355783,325.3512450128421,51096.56382933159,84995.9730237248
770934_23,False,292.9972024767374,451.35303632439053,84686.79083900558,63449.71327069029
770934_22,False,393.9373670262852,1076.490629792056,112165.46623321666,62510.71249998774
770934_21,False,374.1920875615824,3732.8631709475667,107746.87760433299,73827.52590736211
770934_20,False,623.9987049989982,9326.417303146858,467063.12900394714,346756.8722561726
770934_19,False,269.0353104643915,287.24694190551656,282817.9758998624,531674.4658796736
770934_18,False,186.99790775902397,218.97233592588265,404718.81373137655,151120.56480041734
770934_16,False,135.11573036088,148.34319363184187,336891.9331349187,688446.4210828259
770934_15,False,161.16190984267135,168.4934810015277,518612.1908121164,2497057.645079095
770934_14,False,299.6133636527428,315.42452465713,1485816.6518553258,1328347.1393419858
770934_13,False,54.97633334814126,52.60834393731224,1093004.432254325,3746023.934999387
770934_12,False,101.5460221259782,106.9918930561908,1748827.3048435734,2021209.6118410763
780704_28,True,188.15647827604306,11164.962259155976,75564.50830254858,127910.19116539041
780704_27,True,201.49195900808954,1117.2048156674307,83889.97973871742,64388.24230017848
780704_26,True,207.62624577925817,3155.1751584351064,85165.88063575381,86914.67589964761
780704_25,True,214.58792015234684,1069.7858310822025,91582.34415192236,60785.66174870361
780704_24,True,294.0225490078424,633.4328561076227,144542.04520918144,67376.58038481395
780704_23,True,192.8613548106487,346.5237858622829,138382.12273242266,64687.5393147256
780704_22,True,267.47513432558594,471.84575545203506,239583.92545164132,247811.3781129279
780704_21,True,234.6652372071439,475.7435763959909,256130.08035997947,389545.7973970879
780704_20,True,357.07817215048567,709.3159134867999,284439.191457162,151041.8417625021
780704_19,True,193.18178831035937,540.1413783751182,194020.04004267105,322133.1453150583
780704_18,True,284.82139316976395,793.3265519258164,275826.58673034667,209725.1734709567
780704_17,True,1238.971265341835,1085.1867722672723,254422.58670601808,490140.78616816166
780704_16,True,397.7173990829713,1277.0599947676324,448131.68941784813,176140.19292585267
780704_15,False,331.7408740710408,1878.0240722090814,410828.75615930953,123516.07718866758
780704_14,False,295.35748271513944,2147.532820625685,413821.5277267629,201092.98072197154
780704_13,False,360.2634403278473,2729.498548273992,419902.34025217174,220073.66356224663
780704_12,False,227.48524143807447,5555.365171491241,255686.79551138898,149970.2403413776
793490_28,False,167.9815412178755,236.36531071910161,231233.6138916499,44111.886466581505
793490_27,False,276.2077816548752,327.96791577072804,483693.01591086213,77794.00438541781
793490_26,False,150.35467114980457,207.21227901012742,370179.25245149503,111207.29821854443
793490_25,False,154.7749842687851,176.84569260829397,381851.840413764,170410.71200605624
793490_24,False,270.02126945092493,288.86730137539035,642148.6728595123,471639.1837642681
793490_23,False,154.8963912316451,167.78503492889516,262500.8974689507,238749.58384070074
793490_22,False,287.6313697579232,306.9962417656292,5031258.148277877,247151.9699396238
793490_21,False,291.80840319138997,356.37744306354034,269164.4239137464,119091.1278250266
793490_20,False,293.93986187291,523.843134927545,1815324.2572950793,128165.97914294813
793490_19,False,143.56555203557969,160.28589488874962,290565.1824487166,353156.10215683817
793490_18,False,166.53055940317108,209.99663838171543,220790.17853153654,956486.2193384054
793490_17,False,188.61882900450712,319.04113239943933,623943.0155722576,1389877.288627626
793490_16,False,149.06877924345824,216.83062062772456,631275.1670991362,828229.7379111301
793490_15,False,350.31205210618214,271.89507249727427,361909.0995169517,631023.7521594972
793490_14,False,195.35283002811133,238.47373513212477,442916.0462600428,1352234.2697328648
793490_13,False,267.6975597007047,275.3136952260023,1471434.6535872351,1769903.362746019
793490_12,False,108.62910618266295,149.61983632760933,297496.86841480527,157887.04699046965
817104_28,False,361.4531308354898,543.8636947994829,73439.78594097964,45994.084626581316
817104_27,False,414.23517786062206,482.14784903114577,292557.5564136299,158648.18347971677
817104_26,False,227.28532236955215,235.96217689321833,126738.03472357242,135108.21374107205
817104_25,False,289.2207841159951,343.7976002600952,106472.99669035467,344589.73345454276
817104_24,False,300.61692951829457,311.9558407151961,202886.19852458098,224860.6474273708
817104_23,False,167.13730038671815,191.33514868515084,356804.0659304586,540114.2376910208
817104_22,False,193.64486069663172,280.188330748444,528295.6876935171,408381.02526604116
817104_21,False,190.4542849204044,446.7574559045216,261467.01058985176,277241.5532228019
817104_20,False,118.09586920923581,152.6860124433658,352696.68537353666,592612.6808275358
817104_19,False,151.77516133540968,184.14777746043325,535407.4227026077,2160427.0257630926
817104_18,False,91.36248934812492,128.89638823141493,356469.18090358784,166463.0842465294
817104_17,False,98.8177613448641,104.24536494681095,849879.0494965902,2343682.344069628
817104_16,False,72.35848155975262,67.78697693818081,537876.8362201612,610174.2911531855
817104_15,False,93.44170666077093,97.86976214966325,464630.3462150708,1540203.9519685542
817104_14,False,60.31275199418733,86.0465111395993,436615.2880921194,312511.1447924864
817104_13,False,61.434307941888896,74.57484706571833,1340677.322830275,492868.7376141643
817104_12,False,53.660913274348985,53.13738133733312,578076.0470205724,10465253.625609156
833288_28,True,161.98336866900775,15343.116795738497,481863.1013078817,153347.14365659535
833288_27,True,125.78943170604265,194.07548629377413,1279413.2266075965,68853.35338185956
833288_26,True,88.1753235678232,117.38785921976451,140172.94536284622,102384.65098060897
833288_25,True,101.7246873368542,127.27622535112043,232350.72536513745,343926.88342755416
833288_24,True,181.16674002200244,214.25934052576952,317461.3877202416,1475551.8834557333
833288_23,False,112.35791083306749,204.8040055917529,834552.2258317502,1409904.0076786852
833288_22,False,186.7221422018423,323.24710892695555,1428176.4372144055,1931685.947104875
833288_21,False,229.0728596790953,293.41835793805643,431291.79455892986,642652.9077623328
833288_20,False,194.35589974662605,262.7571306790814,1075470.2597529134,1243483.3809976252
833288_19,False,118.87433277811857,128.31029339871404,548155.27278096,1158250.4840060018
833288_18,False,160.27602024199228,137.98981148745875,310581.47279653064,1613351.380273053
833288_17,False,110.65874909667764,116.52809594449997,704209.1177716481,1544806.043396073
833288_16,False,121.07798665877301,125.20352817412501,651569.0511829956,1785621.243677628
833288_15,False,140.95181999596298,154.77327919686147,195079.3877219267,1784311.2702191034
833288_14,False,144.63847694380507,428.9048307697417,7644192.974981246,469839.0688969464
833288_13,False,87.57625778808554,91.26260631427256,349679.0681530718,300371.8938196565
833288_12,False,72.94001070319787,90.42818545407192,4649440.520670073,3386808.250756596
846421_28,False,198.90589613547894,216.33423910098742,35638.03203867945,91083.0145936257
846421_27,False,194.1312837866131,215.91482839533012,42819.09017768318,113845.407960359
846421_26,False,188.78350762842308,214.49212851259585,32689.288772968546,80850.47336352595
846421_25,False,244.29192442303412,280.4054537765079,34701.377945460845,111225.64701002
846421_24,False,386.1609337963769,434.54251417798946,41375.963708988274,40660.40501709558
846421_23,False,223.32007133717048,260.18249681028595,39138.67913516197,55364.54401968437
846421_22,False,354.4639625107699,408.11777355111496,50238.68843033317,77425.7051126837
846421_21,True,412.64667700902527,464.68939074283054,44820.65022997746,89258.36968196253
846421_20,True,434.33926151788967,516.2278131073678,85356.1925561775,102075.15879110518
846421_19,True,323.594848944508,396.3896652636196,48777.39744610024,40547.723124953554
